job,arm,run,task,reward,steps,tool_calls,tok_in,tok_out,cost_usd,failure_class,events_file
DISCARDED-dev1-armA-stella,stella,DISCARDED-dev1,write-compressor,,,0,,,,INFRA:docker-address-pool,no
dev2-armB-claudecode,claude-code,dev2,break-filter-js-from-html,,16,7,126755,8444,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,break-filter-js-from-html,,12,11,107282,17273,0.0432627,AGENT:CancelledError,yes
dev2-armB-claudecode,claude-code,dev2,build-cython-ext,,39,22,222488,7926,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,build-cython-ext,,58,85,1717306,17172,0.5606406,AGENT:CancelledError,yes
dev2-armB-claudecode,claude-code,dev2,code-from-image,,18,2,78586,961,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,code-from-image,,20,18,160470,4571,0.04015872,AGENT:CancelledError,yes
dev2-armB-claudecode,claude-code,dev2,constraints-scheduling,,10,5,42002,10671,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,constraints-scheduling,,7,6,43698,8373,0.04084356,AGENT:CancelledError,yes
dev2-armB-claudecode,claude-code,dev2,distribution-search,,1,0,,,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,distribution-search,,3,0,364,16384,0.0246484,AGENT:CancelledError,yes
dev2-armB-claudecode,claude-code,dev2,extract-elf,,28,13,182496,5885,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,extract-elf,,5,5,24575,368,0.0045270300000000005,AGENT:CancelledError,yes
dev2-armB-claudecode,claude-code,dev2,fix-ocaml-gc,,34,20,305959,2044,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,fix-ocaml-gc,,10,15,198425,901,0.05939064,AGENT:CancelledError,yes
dev2-armB-claudecode,claude-code,dev2,gcode-to-text,,9,4,79529,933,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,gcode-to-text,,27,26,2085721,13653,0.33631464,AGENT:CancelledError,yes
dev2-armB-claudecode,claude-code,dev2,headless-terminal,,6,2,39118,186,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,headless-terminal,,13,9,96001,21621,0.0470961,AGENT:CancelledError,yes
dev2-armB-claudecode,claude-code,dev2,llm-inference-batching-scheduler,,12,5,74964,5897,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,llm-inference-batching-scheduler,,9,8,84975,18832,0.04197,AGENT:CancelledError,yes
dev2-armB-claudecode,claude-code,dev2,make-mips-interpreter,,36,21,183643,2667,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,make-mips-interpreter,,15,25,442729,17380,0.0926689,AGENT:CancelledError,yes
dev2-armB-claudecode,claude-code,dev2,model-extraction-relu-logits,,1,0,,,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,model-extraction-relu-logits,,4,2,15808,57,0.0023276399999999997,AGENT:CancelledError,yes
dev2-armB-claudecode,claude-code,dev2,polyglot-rust-c,,1,0,,,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,polyglot-rust-c,0.0,2,0,7778,16384,0.0254348,,yes
dev2-armB-claudecode,claude-code,dev2,qemu-alpine-ssh,,21,7,153520,6322,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,qemu-alpine-ssh,,,0,,,,INFRA:glibc-binary-cannot-execute,no
dev2-armB-claudecode,claude-code,dev2,qemu-startup,,25,8,178772,9153,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,qemu-startup,,,0,,,,INFRA:glibc-binary-cannot-execute,no
dev2-armB-claudecode,claude-code,dev2,regex-log,,1,0,,,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,regex-log,0.0,2,0,7861,16384,0.0254846,,yes
dev2-armB-claudecode,claude-code,dev2,schemelike-metacircular-eval,,7,2,40318,203,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,schemelike-metacircular-eval,,7,4,58356,23805,0.046070099999999996,AGENT:CancelledError,yes
dev2-armB-claudecode,claude-code,dev2,tune-mjcf,,8,3,40395,1809,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,tune-mjcf,,12,10,101084,13029,0.04042901,AGENT:CancelledError,yes
dev2-armB-claudecode,claude-code,dev2,video-processing,,1,0,,,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,video-processing,,25,24,587299,18050,0.1114074,AGENT:CancelledError,yes
dev2-armB-claudecode,claude-code,dev2,write-compressor,,1,0,,,,AGENT:CancelledError,no
dev2-armA-stella,stella,dev2,write-compressor,0.0,3,2,16637,16475,0.0270787,,yes
hh8-armA-stella,stella,hh8,circuit-fibsqrt,0.0,3,2,19834,16450,0.0280059,,yes
hh8-armA-stella,stella,hh8,dna-assembly,0.0,61,49,3595156,152487,1.27900291,AGENT:timeout,yes
hh8-armA-stella,stella,hh8,kv-store-grpc,0.0,17,9,141894,3276,0.04112124,,yes
hh8-armA-stella,stella,hh8,log-summary-date-ranges,1.0,7,8,80221,2313,0.017326599999999998,,yes
hh8-armA-stella,stella,hh8,merge-diff-arc-agi-task,1.0,57,50,952080,46977,0.20435000000000003,AGENT:nonzero-exit,yes
hh8-armA-stella,stella,hh8,model-extraction-relu-logits,0.0,5,3,24223,16800,0.04092851,AGENT:timeout,yes
hh8-armA-stella,stella,hh8,mteb-leaderboard,0.0,51,53,3122134,25076,0.82269819,,yes
hh8-armA-stella,stella,hh8,openssl-selfsigned-cert,1.0,53,40,748176,21932,0.28322638000000006,,yes
hh8-armA-stella,stella,hh8,path-tracing,0.0,93,91,6072832,126087,1.36299666,AGENT:timeout,yes
hh8-armA-stella,stella,hh8,pypi-server,1.0,49,56,640780,25860,0.15677038,AGENT:timeout,yes
hh8-armA-stella,stella,hh8,pytorch-model-recovery,0.0,,0,,,,AGENT:nonzero-exit,yes
hh8-armA-stella,stella,hh8,qemu-alpine-ssh,,,0,,,,INFRA:glibc-binary-cannot-execute,no
hh8-armA-stella,stella,hh8,regex-chess,0.0,5,2,18867,32833,0.053022200000000005,AGENT:nonzero-exit,yes
hh8-armA-stella,stella,hh8,regex-log,0.0,2,0,7861,16384,0.0254846,,yes
hh8-armA-stella,stella,hh8,schemelike-metacircular-eval,0.0,13,37,391175,55036,0.146983,,yes
hh8-armA-stella,stella,hh8,torch-pipeline-parallelism,0.0,33,31,363365,20300,0.13912595,AGENT:timeout,yes
hh8-armA-stella,stella,hh8,torch-tensor-parallelism,0.0,12,13,96331,32756,0.093358624,,yes
hh8-armA-stella,stella,hh8,write-compressor,0.0,3,2,16669,16481,0.027348900000000002,,yes
smoke1-armB-claudecode,claude-code,smoke1,kv-store-grpc,1.0,28,10,215515,2279,0.191062,,no
smoke1-armA-stella,stella,smoke1,kv-store-grpc,0.0,26,16,231730,22865,0.11833153,,yes
smoke1-armB-claudecode,claude-code,smoke1,write-compressor,0.0,6,2,39836,32179,,AGENT:timeout,no
smoke1-armA-stella,stella,smoke1,write-compressor,0.0,3,2,16660,16486,0.027045,,yes
